"tipo_plano","satisfacao_cliente","gasto_mensal","uso_servicos_adicionais","reclamacoes_recentes","churn"
"Avançado",3.4,104.299625662084,"Não","Sim","Sim"
"Intermediário",1,119.296228636584,"Não","Sim","Não"
"Avançado",1.1,92.364991816348,"Sim","Não","Não"
"Intermediário",3.6,100.593968211204,"Não","Sim","Não"
"Básico",4,90.4859697739373,"Sim","Sim","Não"
"Intermediário",3.3,75.7017900457594,"Sim","Não","Sim"
"Avançado",3.8,94.7353504438847,"Não","Sim","Não"
"Avançado",2.1,132.813679210828,"Sim","Não","Sim"
"Básico",4.3,79.2882454937783,"Não","Sim","Sim"
"Avançado",2.9,120.308755279329,"Não","Sim","Não"
"Intermediário",3.7,129.844583533558,"Sim","Sim","Sim"
"Avançado",2.1,98.924415263872,"Sim","Sim","Não"
"Avançado",1.3,111.347481889278,"Sim","Não","Sim"
"Avançado",4.6,80.7225246367219,"Não","Não","Não"
"Básico",3.4,82.2636919211086,"Sim","Sim","Não"
"Intermediário",1.4,140.126591230685,"Não","Não","Sim"
"Básico",4.6,125.744419073456,"Não","Não","Não"
"Avançado",2.6,94.9959304666629,"Não","Não","Não"
"Intermediário",1.5,91.0305249739204,"Não","Não","Não"
"Intermediário",3.3,108.821222156492,"Sim","Não","Não"
"Avançado",2.3,98.4011481365867,"Sim","Não","Não"
"Intermediário",3.5,93.7929701048304,"Não","Sim","Sim"
"Básico",3.4,72.6632077905386,"Não","Não","Não"
"Básico",4.8,156.376362172892,"Não","Não","Não"
"Avançado",1.6,159.269504498646,"Não","Não","Sim"
"Avançado",3,105.053083545542,"Não","Sim","Não"
"Avançado",3,96.4273363132362,"Não","Não","Não"
"Intermediário",2.7,120.065801054517,"Não","Não","Sim"
"Básico",2.3,105.636874675934,"Sim","Não","Sim"
"Avançado",4.5,104.664350977288,"Sim","Não","Sim"
"Intermediário",4.7,119.764391912634,"Não","Não","Sim"
"Intermediário",3.3,100.234435128042,"Sim","Sim","Não"
"Avançado",1.4,119.139633658528,"Não","Não","Sim"
"Avançado",3.9,111.925864829495,"Sim","Sim","Não"
"Básico",5,71.8904832966083,"Sim","Não","Sim"
"Intermediário",2,116.350558618156,"Não","Sim","Não"
"Intermediário",4.7,110.178042083673,"Sim","Não","Sim"
"Intermediário",3.9,96.8253975702598,"Não","Não","Não"
"Avançado",2.3,138.195422322006,"Não","Sim","Não"
"Básico",3.2,132.467958445753,"Não","Não","Sim"
"Básico",2.2,102.243422625183,"Sim","Não","Sim"
"Intermediário",4.5,89.5794988514742,"Sim","Sim","Não"
"Avançado",4.6,89.1124815381025,"Não","Não","Sim"
"Básico",2.8,106.134282557936,"Não","Não","Não"
"Intermediário",2.4,136.139791970489,"Não","Não","Não"
"Intermediário",2.2,49.6206396260257,"Não","Sim","Sim"
"Avançado",3,93.9341734195718,"Não","Não","Sim"
"Avançado",3.6,117.76473003204,"Sim","Não","Sim"
"Intermediário",3.4,112.856954167122,"Sim","Não","Sim"
"Básico",2.3,127.468771166881,"Não","Não","Não"
"Básico",1.4,109.849396237167,"Sim","Sim","Não"
"Básico",2.5,84.4839044552857,"Não","Não","Sim"
"Básico",3.6,114.275687167637,"Não","Sim","Sim"
"Intermediário",4.1,87.1955079164504,"Não","Sim","Não"
"Avançado",3.6,81.4883924610862,"Não","Não","Sim"
"Intermediário",2.5,118.244054098038,"Sim","Não","Não"
"Avançado",3,91.5772845995763,"Sim","Não","Sim"
"Intermediário",3.2,104.151758838002,"Sim","Sim","Sim"
"Intermediário",1.1,124.601992750155,"Não","Sim","Não"
"Básico",1.4,93.7161387402318,"Não","Sim","Não"
"Intermediário",1.7,113.286576866152,"Não","Não","Sim"
"Básico",1.6,96.4326570954105,"Sim","Não","Não"
"Intermediário",2.6,107.278601746633,"Não","Sim","Sim"
"Avançado",1.7,55.8769726237934,"Não","Não","Não"
