"usuario_id","idade","genero","historico_compras","categoria_preferida","tempo_na_plataforma","produtos_visualizados","nivel_atividade","realizou_compra","churn","produto_recomendado"
1,19,"Feminino","Baixo","Casa",4,25,"Alto","Sim","Sim","A"
2,61,"Feminino","Baixo","Casa",20,25,"Baixo","Sim","Não","B"
3,64,"Masculino","Médio","Eletrônicos",20,13,"Médio","Sim","Não","A"
4,21,"Masculino","Alto","Casa",3,27,"Alto","Não","Sim","E"
5,35,"Masculino","Baixo","Eletrônicos",5,16,"Alto","Não","Sim","C"
6,36,"Masculino","Baixo","Eletrônicos",6,18,"Baixo","Não","Não","A"
7,52,"Feminino","Médio","Beleza",21,16,"Baixo","Sim","Não","B"
8,35,"Feminino","Médio","Beleza",6,24,"Médio","Não","Sim","B"
9,37,"Masculino","Alto","Beleza",15,21,"Alto","Não","Sim","D"
10,18,"Feminino","Alto","Moda",16,21,"Baixo","Sim","Não","B"
11,63,"Feminino","Alto","Casa",23,25,"Baixo","Sim","Não","D"
12,35,"Feminino","Alto","Eletrônicos",8,19,"Médio","Não","Sim","A"
13,26,"Masculino","Baixo","Moda",18,18,"Médio","Não","Sim","B"
14,48,"Masculino","Médio","Beleza",14,17,"Baixo","Não","Não","E"
15,59,"Masculino","Médio","Eletrônicos",19,19,"Alto","Sim","Não","B"
16,55,"Feminino","Alto","Moda",2,21,"Médio","Não","Não","C"
17,35,"Feminino","Médio","Moda",24,16,"Médio","Não","Não","E"
18,38,"Feminino","Médio","Casa",3,33,"Baixo","Sim","Sim","B"
19,28,"Feminino","Baixo","Eletrônicos",23,15,"Baixo","Sim","Não","B"
20,24,"Masculino","Baixo","Casa",21,22,"Baixo","Sim","Não","D"
21,54,"Feminino","Baixo","Casa",14,34,"Médio","Não","Sim","E"
22,50,"Masculino","Médio","Moda",1,11,"Alto","Não","Não","E"
23,31,"Masculino","Médio","Eletrônicos",3,21,"Médio","Sim","Não","C"
24,41,"Masculino","Médio","Eletrônicos",16,21,"Médio","Sim","Não","E"
25,60,"Masculino","Médio","Esportes",10,17,"Médio","Sim","Não","A"
26,38,"Feminino","Alto","Beleza",16,22,"Alto","Sim","Sim","B"
27,51,"Masculino","Baixo","Esportes",22,17,"Médio","Sim","Não","D"
28,26,"Feminino","Alto","Eletrônicos",12,12,"Médio","Não","Não","C"
29,63,"Masculino","Alto","Moda",16,17,"Alto","Não","Sim","E"
30,50,"Feminino","Baixo","Esportes",7,21,"Alto","Sim","Não","B"
